cycle,range_bin,doppler_bin,output_hex
1131005000,17,19,ff29ff4b
1131015000,17,20,01fffebf
1131025000,17,21,fdce005f
1131035000,17,22,022c0047
1131045000,17,23,fe7a00c5
1131055000,17,24,009d004a
1131065000,17,25,005bfef7
1131075000,17,26,001f00fb
1131085000,17,27,fef2fe77
1131095000,17,28,008d019a
1131105000,17,29,ffd1fe3a
1131115000,17,30,02710089
1131125000,17,31,fc31ffe3
1136205000,18,0,00a5fea8
1136215000,18,1,fe710056
1136225000,18,2,02bdffb2
1136235000,18,3,fde8011a
1136245000,18,4,feb6ff42
1136255000,18,5,04a0016a
1136265000,18,6,fbeefef5
1136275000,18,7,01e2007e
1136285000,18,8,feb6ffb4
1136295000,18,9,00b0fff5
1136305000,18,10,ffe1ff7b
1136315000,18,11,003301b5
1136325000,18,12,00a0ff2c
1136335000,18,13,ff27fdd0
1136345000,18,14,005201f7
1136355000,18,15,012f002e
1136365000,18,16,fe97febc
1136375000,18,17,003301e2
1136385000,18,18,fe5dfec8
1136395000,18,19,021e0118
1136405000,18,20,ff26fe9e
1136415000,18,21,00120040
1136425000,18,22,00b400b5
1136435000,18,23,ff12ffb0
1136445000,18,24,03020004
1136455000,18,25,fc1cff33
1136465000,18,26,01ad00cb
1136475000,18,27,ff43ff91
1136485000,18,28,00b80110
1136495000,18,29,ff8ffe3e
1136505000,18,30,011c01e7
1136515000,18,31,fea9ff94
1141595000,19,0,011eff14
1141605000,19,1,ff72016f
1141615000,19,2,0153ffde
1141625000,19,3,ffd1010e
1141635000,19,4,fd5afdab
1141645000,19,5,040f0275
1141655000,19,6,fe08fef6
1141665000,19,7,0006febe
1141675000,19,8,ff8c019b
1141685000,19,9,00ca0024
1141695000,19,10,ffeffe8c
1141705000,19,11,0034023e
1141715000,19,12,fe2cfd80
1141725000,19,13,01ad00f9
1141735000,19,14,002cffa6
1141745000,19,15,00a20079
1141755000,19,16,feb80016
1141765000,19,17,006a0069
1141775000,19,18,ffa5feb0
1141785000,19,19,ffb3017c
1141795000,19,20,00aeff4f
1141805000,19,21,fedbffed
1141815000,19,22,01e00010
1141825000,19,23,fe2cfe84
1141835000,19,24,02160383
1141845000,19,25,fe52fc1c
1141855000,19,26,0029028a
1141865000,19,27,0148fffc
1141875000,19,28,ff3c005e
1141885000,19,29,ffc9fe1d
1141895000,19,30,014400b0
1141905000,19,31,fd84ffd1
1146985000,20,0,0158018d
1146995000,20,1,ffa8ff43
1147005000,20,2,fe16fee3
1147015000,20,3,02970243
1147025000,20,4,fe5dff3e
1147035000,20,5,012bff44
1147045000,20,6,fed500d5
1147055000,20,7,012c001e
1147065000,20,8,ff01fe88
1147075000,20,9,ff8c024f
1147085000,20,10,0076fe50
1147095000,20,11,009a00ed
1147105000,20,12,ff3cff33
1147115000,20,13,0058ff8b
1147125000,20,14,01240194
1147135000,20,15,ffbefe76
1147145000,20,16,ff580129
1147155000,20,17,003e00dd
1147165000,20,18,fddefd0b
1147175000,20,19,02130255
1147185000,20,20,ff3dfefc
1147195000,20,21,ffd1ffb0
1147205000,20,22,01430253
1147215000,20,23,fe16fdfe
1147225000,20,24,045f013e
1147235000,20,25,fc8eff0d
1147245000,20,26,0076fff6
1147255000,20,27,ff50ff8b
1147265000,20,28,0152006f
1147275000,20,29,001c00bd
1147285000,20,30,fe6cffb8
1147295000,20,31,003cfea6
1152375000,21,0,ff3802d8
1152385000,21,1,ff5bfe70
1152395000,21,2,01790009
1152405000,21,3,ffb0006f
1152415000,21,4,fe3901a9
1152425000,21,5,02cefe8f
1152435000,21,6,fe7affac
1152445000,21,7,00b80090
1152455000,21,8,ff32fe95
1152465000,21,9,002f026a
1152475000,21,10,0001fd70
1152485000,21,11,000403f0
1152495000,21,12,00a4fabf
1152505000,21,13,ff25027e
1152515000,21,14,00ea0068
1152525000,21,15,ffc8ff10
1152535000,21,16,ff940092
1152545000,21,17,004b004e
1152555000,21,18,fedb0079
1152565000,21,19,00d2ff89
1152575000,21,20,0021fe7f
1152585000,21,21,ff4c0021
1152595000,21,22,011600f6
1152605000,21,23,fef80130
1152615000,21,24,00feff51
1152625000,21,25,ff63ff48
1152635000,21,26,000300aa
1152645000,21,27,014affd8
1152655000,21,28,feae0049
1152665000,21,29,0001fe62
1152675000,21,30,001602ba
1152685000,21,31,00b0fc90
1157765000,22,0,0011fe96
1157775000,22,1,0232fe8b
1157785000,22,2,fdd501e1
1157795000,22,3,013cfe73
1157805000,22,4,fe1901e8
1157815000,22,5,037eff04
1157825000,22,6,fde3006c
1157835000,22,7,014e004a
1157845000,22,8,fda8ff70
1157855000,22,9,01afffe9
1157865000,22,10,ff5bfeaf
1157875000,22,11,fea501b9
1157885000,22,12,02b1ff65
1157895000,22,13,fece00dc
1157905000,22,14,001dfe87
1157915000,22,15,009a014f
1157925000,22,16,ff69ff90
1157935000,22,17,ffeafe6d
1157945000,22,18,ff110345
1157955000,22,19,008cfdd5
1157965000,22,20,0107000c
1157975000,22,21,fdec0132
1157985000,22,22,025ffe62
1157995000,22,23,fdf200ca
1158005000,22,24,01aa0052
1158015000,22,25,ff6d003b
1158025000,22,26,0073ffaf
1158035000,22,27,ffa7001b
1158045000,22,28,0043fff7
1158055000,22,29,ffa0ffe2
